Institution Name,City,State,Size: Annual Unduplicated Headcount,Percent Part-Time,Percent Non-Traditional Age (25 and Older),Percent Minority,Percent of First-Time Undergrads who are Full-Time,First-Year Retention Rate,Three-Year Graduation Rate,Credentials Awarded per 100 FTE Students,"Percent of Undergrads Receiving Pell, 2011-12","latitude,longitude"
Walters State Community College,Morristown,TN,8744,44.7,32.2,4,88.2,58,29.2,33.4,44.7,"36.211783,-83.261842"
Alvin Community College,Alvin,TX,8250,72.7,31.6,36.3,44,60.2,56.1,30.7,19.2,"29.394957,-95.241025"
Amarillo College,Amarillo,TX,14368,67.1,37.9,38.1,57.9,46.5,26.3,28.4,40,"35.206779,-101.906996"
Angelina College,Lufkin,TX,7918,58.8,27.2,28,41.2,48.2,20,27,61.7,"31.290124,-94.737293"
Austin Community College District,Austin,TX,70452,76.5,42.3,37.1,37.4,49.5,42.8,13.6,28.3,"30.276472,-97.747951"
Blinn College,Brenham,TX,27821,45.1,12.9,28.7,76.6,50.8,57.3,13.8,26.7,"30.160567,-96.409732"
Brazosport College,Lake Jackson,TX,6392,72.7,30.2,39.5,42.2,83.7,80.6,26.5,20.1,"29.047757,-95.408567"
Brookhaven College,Farmers Branch,TX,24557,78.9,48.4,46.7,39.3,52.5,50.6,18.8,27.2,"32.929413,-96.85009"
Cedar Valley College,Lancaster,TX,11935,74.8,43.2,71.3,54.9,45.4,45.6,30.3,40.8,"32.624856,-96.763705"
Cisco College,Cisco,TX,6210,51.5,31.6,30.7,44.7,48.4,42.7,24.2,34.9,"32.40088,-98.985276"
Clarendon College,Clarendon,TX,1951,51.5,22,26.6,49.9,48.3,54.8,23.2,47.6,"34.944599,-100.902441"
Coastal Bend College,Beeville,TX,5629,66,24.6,67.6,66.2,46.4,38.7,30.7,38.1,"28.400832,-97.748331"
College of the Mainland,Texas City,TX,5968,71.2,36.4,43,49.4,51.8,24.8,26.5,27.1,"29.395552,-95.000882"
Collin County Community College District,McKinney,TX,41222,64.3,35.6,26.3,60.7,57.1,52.3,19.9,23,"33.162653,-96.638263"
Del Mar College,Corpus Christi,TX,16453,70.9,39.7,59.9,53.3,48.7,23,42.1,41.2,"27.762605,-97.409567"
Eastfield College,Mesquite,TX,24797,74.9,38.9,58.5,44,53.7,45.1,19.4,37.6,"32.813317,-96.659803"
El Centro College,Dallas,TX,20288,80,49.7,65.2,39.4,50,33.2,27.9,40.9,"32.77985,-96.805334"
El Paso Community College,El Paso,TX,41258,61.3,32.1,87.3,57,61.5,25.3,33.8,49.8,"31.751813,-106.369039"
Frank Phillips College,Borger,TX,1402,49.8,21.2,30.1,86.3,49.6,48.2,18.5,38.6,"35.656952,-101.405975"
Galveston College,Galveston,TX,3437,67.5,38.1,46.7,55.3,45.6,41.6,33.9,41.5,"29.284711,-94.807822"
Grayson County College,Denison,TX,7255,49.8,39.5,21.5,74.4,68.2,32.4,45.6,48.6,"33.70608,-96.634615"
Hill College,Hillsboro,TX,6556,57.3,31.4,16.7,35.4,48.3,22.3,21.3,37.8,"32.013356,-97.085815"
Houston Community College,Houston,TX,93625,69.8,46.3,60.1,35,54.6,39,19.5,40.3,"29.704835,-95.297601"
Howard College,Big Spring,TX,6271,66.8,26.8,44.7,68.2,51.7,39.1,33.1,35,"32.25195,-101.451831"
Kilgore College,Kilgore,TX,8342,53.4,33.4,32.1,75.1,50.9,34.7,48.1,26.8,"32.377672,-94.870864"
Lamar Institute of Technology,Beaumont,TX,3973,48,34.3,47,70.6,41.9,39,36.6,39.8,"30.04758,-94.077851"
Lamar State College-Orange,Orange,TX,3535,57.5,37.1,26.1,71.1,47.7,36.3,35.4,43.8,"30.091284,-93.73246"
Lamar State College-Port Arthur,Port Arthur,TX,3929,56.2,44,54.1,74,44.7,41.7,42.7,48.7,"29.879716,-93.927286"
Laredo Community College,Laredo,TX,13351,64.7,25.4,96.6,49.4,69,31.6,17.1,57,"27.508427,-99.521369"
Lee College,Baytown,TX,9640,72.3,40.6,51.1,47,58.7,49.8,31,44,"29.731143,-94.978755"
Lone Star College System,The Woodlands,TX,98313,68,29.1,44.8,45.4,69.6,32.4,19.4,34.8,"30.187408,-95.488061"
McLennan Community College,Waco,TX,14738,54.5,38.4,37.3,71.3,61.5,41.5,22.2,52.9,"31.589174,-97.173274"
Midland College,Midland,TX,11269,72.7,27.6,32.4,58.8,60,25.3,23.5,23.4,"32.029132,-102.105266"
Mountain View College,Dallas,TX,15828,74.6,34.6,75.4,54.8,52.8,38.1,24.1,38.1,"32.72429,-96.903474"
Navarro College,Corsicana,TX,15087,52.8,31.5,38.5,75.5,52.1,49.6,23.9,48.1,"32.07528,-96.498169"
North Central Texas College,Gainesville,TX,14921,62.4,27.9,25.5,45,42,36.9,21.7,27.1,"33.618792,-97.16594"
North Lake College,Irving,TX,20317,75.1,40.1,47.5,47.2,53.9,50.9,28.4,27.1,"32.871239,-96.967256"
Northeast Texas Community College,Mount Pleasant,TX,4477,46,30.2,36.4,85.4,48.9,39.9,28.7,54.5,"33.104197,-94.880556"
Northwest Vista College,San Antonio,TX,21433,73.8,25.8,60.3,36.8,54,27.6,12.9,30.3,"29.469275,-98.706206"
Odessa College,Odessa,TX,7090,70.8,29.5,57.9,48.2,63.9,9.9,26.3,31.3,"31.867753,-102.381332"
Palo Alto College,San Antonio,TX,14038,80.3,31.6,68,32.9,46.3,21.2,18.2,34.2,"29.325307,-98.541454"
Panola College,Carthage,TX,3497,55.7,33.7,28,80.6,42,45.2,43.2,10.7,"32.15592,-94.355871"
Paris Junior College,Paris,TX,8364,51.3,32.9,24.6,78.6,48.2,37.7,21.6,46.5,"33.651317,-95.529512"
Ranger College,Ranger,TX,2533,50,20.5,26.1,50.6,37.4,46,16.4,38.1,"32.458823,-98.682512"
Richland College,Dallas,TX,34219,73.2,38.5,45.6,41.2,60.1,48.9,19.6,29,"32.921763,-96.729206"
San Antonio College,San Antonio,TX,38811,74.2,36.4,60.2,42.7,49.5,15.1,11.5,33.1,"29.446359,-98.497857"
San Jacinto Community College,Pasadena,TX,41508,68.5,30.8,49.7,52.7,58.8,32.8,43.8,32.3,"29.691063,-95.209101"
South Plains College,Levelland,TX,14334,52.1,24.4,31.1,77.9,60.2,37.9,24.2,35.9,"33.576506,-102.367561"
South Texas College,McAllen,TX,39772,63.5,22.5,91.8,76.7,57.8,22.6,26,46.9,"26.216355,-98.253284"
Southwest Collegiate Institute for the Deaf,Big Spring,TX,217,18.8,31.8,47.5,96.1,65.1,21.1,41.1,56.5,"32.228829,-101.502786"
Southwest Texas Junior College,Uvalde,TX,7404,62.3,21.2,85.2,59.5,50,33.1,28.2,49.6,"29.221306,-99.743187"
St Philip's College,San Antonio,TX,15651,79.2,44,64.8,38.5,41.2,18,14.6,37.3,"29.414103,-98.454807"
Tarrant County College District,Fort Worth,TX,75547,65,37.6,42.5,57.1,49.8,29.2,21,36.6,"32.747536,-97.327811"
Temple College,Temple,TX,8251,59,44.4,42.6,62.3,44.2,39.2,24,53.5,"31.074841,-97.347605"
Texarkana College,Texarkana,TX,6068,59.8,29.9,26.4,69.9,65.1,20.1,34.3,39.7,"33.443439,-94.078095"
Texas State Technical College Harlingen,Harlingen,TX,7591,60.7,27.3,88.1,76.9,51.1,44.9,22.2,55.2,"26.221024,-97.666581"
Texas State Technical College Waco,Waco,TX,6105,22.4,36.4,38.7,81.8,49,38.2,37.7,62.9,"31.639372,-97.084822"
Texas State Technical College-Marshall,Marshall,TX,1149,53.9,28.5,37.7,73,53.9,48,49.3,49,"32.518653,-94.350721"
Texas State Technical College-West Texas,Sweetwater,TX,1522,82.4,52.9,23.4,26,47.1,34.6,46.1,61,"32.46276,-100.472939"
Trinity Valley Community College,Athens,TX,11349,49.3,45.5,18.8,73.7,62.3,38.7,29.8,48.2,"32.196153,-95.858994"
Tyler Junior College,Tyler,TX,15651,50.4,29.4,34.7,72.5,47.4,42.2,30.9,43.4,"32.333537,-95.285499"
Vernon College,Vernon,TX,7415,69.4,35.6,23.9,50.9,59.1,49.5,30.2,43.7,"34.160138,-99.319056"
Victoria College,Victoria,TX,6065,63.2,35.6,44.3,64.9,50.5,49.5,29.1,39.9,"28.816929,-96.979304"
Weatherford College,Weatherford,TX,8076,52.9,28.7,15.2,78.8,48.1,37.3,44.2,34.6,"32.740844,-97.792563"
Western Texas College,Snyder,TX,4475,74.2,26,28,59.7,31.6,56.6,35.2,13.4,"32.678777,-100.913915"
Wharton County Junior College,Wharton,TX,10604,58.6,23.6,43.2,74.8,58.2,53.3,22.9,29.4,"29.354985,-96.072662"
Davis Applied Technology College,Kaysville,UT,7497,79.6,50.6,10.1,25.8,50.5,44.2,16.2,7.5,"41.030134,-111.92531"
Salt Lake Community College,Salt Lake City,UT,48876,71.9,39.9,14.5,42.5,48.4,40,34.1,31.3,"40.672453,-111.943345"
Snow College,Ephraim,UT,5409,34.1,11.8,6.3,94.3,54.5,73,45.4,39,"39.36128,-111.582928"
Uintah Basin Applied Technology College,Roosevelt,UT,2082,87.5,25.1,11.3,35.5,56.2,38.3,6.8,1.4,"40.299531,-109.976614"
Blue Ridge Community College,Weyers Cave,VA,6807,61.5,30.7,10.8,64.5,55,34.4,38.2,38.2,"38.279354,-78.939431"
Central Virginia Community College,Lynchburg,VA,7707,72.6,31,18.6,55,48.7,35,33.2,27.2,"37.359484,-79.185185"
Dabney S Lancaster Community College,Clifton Forge,VA,2189,68.9,28.2,7.2,74.3,51.5,40.3,35,33.9,"37.810266,-79.852354"
Danville Community College,Danville,VA,6493,63.1,33.7,42,67,59.6,38,25.5,47.7,"36.565334,-79.408096"
Eastern Shore Community College,Melfa,VA,1381,63.4,35.8,44.2,56.9,55.6,34.5,30.3,52.7,"37.640607,-75.750668"
Germanna Community College,Locust Grove,VA,10685,67.4,29.6,24,59.5,53.5,36,34.9,26.1,"38.375148,-77.781366"
J Sargeant Reynolds Community College,Richmond,VA,20109,69.9,43.7,40.5,48.8,51.5,26.3,21.9,41.4,"37.694004,-77.881031"
John Tyler Community College,Chester,VA,14895,70.6,32.3,32.6,62.2,54.3,29.8,23.8,30.9,"37.346609,-77.407797"
Lord Fairfax Community College,Middletown,VA,9719,71,27.6,10.8,50.6,54.2,39,36.5,29.2,"39.035823,-78.267357"
Mountain Empire Community College,Big Stone Gap,VA,4429,54.2,32.8,2.8,80.9,50.5,26.3,27.6,49.2,"36.855018,-82.759411"
New River Community College,Dublin,VA,8042,60.5,28.8,8.2,70.9,52.6,39,30.7,32.9,"37.104696,-80.694133"
Northern Virginia Community College,Annandale,VA,76552,62.3,39.3,32.7,62.7,61.3,28.7,30.6,20.9,"38.834117,-77.236637"
Patrick Henry Community College,Martinsville,VA,4741,47.2,43,28.8,75.1,52.5,34.5,38.5,56.1,"36.738243,-79.869584"
Paul D Camp Community College,Franklin,VA,2549,66,41,43.7,62.5,45.3,36.1,30.8,48.1,"36.674498,-76.937594"
Piedmont Virginia Community College,Charlottesville,VA,7887,79.1,35.2,17.9,41.7,54.5,33.6,29.3,27.9,"38.007,-78.484429"
Rappahannock Community College,Glenns,VA,5092,75.4,23.2,23,60,49.4,34.4,30.1,24.3,"37.564357,-76.623861"
Richard Bland College of the College of William and Mary,Petersburg,VA,2142,37,10.8,33.6,94.6,51.6,51,35.4,32.4,"37.227928,-77.401927"
Southside Virginia Community College,Alberta,VA,9166,68.9,34.1,42.2,67.2,54.6,36.9,28.9,40,"36.838887,-77.916742"
Southwest Virginia Community College,Richlands,VA,4727,58.4,31.9,4.5,81.9,49,37,39.4,39.5,"37.093169,-81.793727"
Thomas Nelson Community College,Hampton,VA,16404,64.3,43.4,41.7,52.8,49.6,24.5,27.2,40.9,"37.060822,-76.413833"
Tidewater Community College,Norfolk,VA,47758,59.5,47.3,41.7,60.6,55.8,22.2,25.5,43.5,"36.850497,-76.289726"
Virginia Highlands Community College,Abingdon,VA,3810,58.1,30.4,3.6,80.6,53.6,27,37.6,42.7,"36.697424,-82.001199"
Virginia Western Community College,Roanoke,VA,12601,70.2,35,13.6,67.5,55,30.6,28.4,29.9,"37.245443,-79.972855"
Wytheville Community College,Wytheville,VA,5091,63.9,38.6,9.2,78.1,57.8,43.4,37.7,39.1,"36.957437,-81.070545"
Community College of Vermont,Montpelier,VT,11009,82.6,52.5,4.7,29.9,41.7,13.3,30.7,44.4,"44.280642,-72.574106"
Bates Technical College,Tacoma,WA,8337,52.1,75.6,13.8,93.2,64.6,37,16.9,15.2,"47.251965,-122.446497"
Bellevue College,Bellevue,WA,22452,52.1,37.7,11.3,71.5,63,49.9,34,14,"47.585351,-122.148283"
Bellingham Technical College,Bellingham,WA,4681,48.2,60.1,7.7,78.4,66,52.8,41.5,42.8,"48.76614,-122.510944"
Big Bend Community College,Moses Lake,WA,2830,28.6,34.8,34.8,87.3,58.7,44.7,44.5,53.2,"47.184096,-119.325223"
Cascadia Community College,Bothell,WA,4104,48.4,23,9.4,74,56.8,57.3,34.1,16.4,"47.76232,-122.205403"
Centralia College,Centralia,WA,5730,51.4,53,12.3,89.4,56.7,51.4,38.1,28.8,"46.715635,-122.960924"
Clark College,Vancouver,WA,19465,50.2,41.7,11,65.6,59.8,44.6,30.2,41.3,"45.636556,-122.650762"
Clover Park Technical College,Lakewood,WA,7990,44,69.6,17.9,86.2,55.3,48.2,19.6,33,"47.175409,-122.499483"
Columbia Basin College,Pasco,WA,9254,47.1,36.5,28.8,73.5,56.4,41.1,40.9,30.5,"46.251408,-119.118416"
Edmonds Community College,Lynnwood,WA,15377,53.6,46.4,14.3,76.7,55.6,45.7,29.1,19.9,"47.816782,-122.327743"
Everett Community College,Everett,WA,11667,47.7,39.3,9.9,66.1,53.1,45,37,22.9,"48.006111,-122.203556"
Grays Harbor College,Aberdeen,WA,3551,30.6,54,16.2,96.5,63.2,39.8,34.6,48.9,"46.954465,-123.801361"
Green River Community College,Auburn,WA,12617,39.1,35,11.9,73.3,56.5,54.7,35.2,25.5,"47.31346,-122.179077"
Highline Community College,Des Moines,WA,10619,41.7,37,21.2,70.1,54.4,48.5,33.1,29.4,"47.387307,-122.306653"
Lake Washington Institute of Technology,Kirkland,WA,6113,50.8,64.2,9.6,72.2,59.1,30.5,37.5,24.2,"47.705256,-122.16716"
Lower Columbia College,Longview,WA,5536,42.6,49,8.5,85.8,54.6,43.1,33.8,46.2,"46.143466,-122.937214"
Olympic College,Bremerton,WA,11658,43.9,47.2,10.9,69.4,57.2,43.3,40.1,30,"47.5753,-122.635356"
Peninsula College,Port Angeles,WA,4470,48,55.6,12.6,87.2,53.8,42.8,31.3,32.3,"48.100301,-123.410763"
Pierce College at Fort Steilacoom,Lakewood,WA,13512,57.8,51.4,22.7,63.5,45.6,56.6,33.2,31.5,"-30.810192,121.536292"
Pierce College at Puyallup,Puyallup,WA,5415,60.9,33.2,13.8,49.9,45.8,71.1,40.9,34.6,"47.185379,-122.292897"
Renton Technical College,Renton,WA,6854,63.1,69.7,17.1,76.9,66.1,66.2,35.1,20.2,"47.489499,-122.175415"
Seattle Community College-Central Campus,Seattle,WA,11828,42.4,48.1,17.8,71.8,55.7,56.4,34.4,27.1,"47.60621,-122.332071"
Seattle Community College-North Campus,Seattle,WA,10561,64,63.7,12.2,67.8,47.3,51.9,31,14.4,"47.542483,-122.325406"
Seattle Community College-South Campus,Seattle,WA,9163,60.6,60.7,19.3,82.2,56.1,38,28.5,14.5,"47.542483,-122.325406"
Shoreline Community College,Shoreline,WA,9562,45.5,44.5,12.8,83.4,63.7,52.1,32.7,22.5,"47.747352,-122.35852"
Skagit Valley College,Mount Vernon,WA,8053,46.9,45.5,14.1,77.5,52.2,36.8,32.9,27.3,"48.438327,-122.307988"
South Puget Sound Community College,Olympia,WA,7690,44.9,43.7,11.2,70,54.5,42.3,44.1,32.4,"47.025377,-122.928904"
Spokane Community College,Spokane,WA,11186,33.4,55.3,9,84.6,51,44.6,35.7,51.2,"47.672367,-117.361"
Spokane Falls Community College,Spokane,WA,14200,47,49.5,9.8,87,53.1,44.3,31.3,27.8,"47.676861,-117.464318"
Tacoma Community College,Tacoma,WA,14454,47.8,50.6,14,75,56.3,49,32.1,33.9,"47.248597,-122.524039"
Walla Walla Community College,Walla Walla,WA,8088,42.5,55.2,22.7,91.5,59.5,55.7,42.4,33.5,"46.078431,-118.275497"
Wenatchee Valley College,Wenatchee,WA,5119,31.8,36.3,27.8,84.6,57.6,41.7,47.8,49,"47.430744,-120.337028"
Whatcom Community College,Bellingham,WA,6607,43.1,30.3,9.2,76.5,58.7,51.6,51.6,32.9,"48.794689,-122.492743"
Yakima Valley Community College,Yakima,WA,6538,33,36.2,44.3,77.5,55.4,42.1,37.6,52.3,"46.586471,-120.527962"
Blackhawk Technical College,Janesville,WI,3808,56.7,59.1,15.2,53.6,63.9,40.7,43.1,56.6,"42.593293,-89.0161"
Chippewa Valley Technical College,Eau Claire,WI,8421,52.1,42.3,4,63.4,59.3,58,44.6,44.7,"44.840458,-91.554485"
Fox Valley Technical College,Appleton,WI,17658,72.8,51,5.8,46.4,58.2,42,38.5,32.4,"44.285734,-88.458309"
Gateway Technical College,Kenosha,WI,14162,79.4,56.3,26.9,26.5,59.2,32.3,35.8,51.8,"42.608317,-87.849469"
Lac Courte Oreilles Ojibwa Community College,Hayward,WI,670,48.3,70.1,70.6,67.4,38.5,40.6,30.6,85.7,"45.943544,-91.361833"
Lakeshore Technical College,Cleveland,WI,4553,67.5,59.3,3.5,44,64.1,38.6,52.2,36.4,"43.923145,-87.754087"
Madison Area Technical College,Madison,WI,23107,66,52.5,13.4,42.6,47.9,41.6,30.9,29.6,"43.12188,-89.32934"
Mid-State Technical College,Wisconsin Rapids,WI,5047,60.1,50.1,3.3,49.5,60,28.8,40,48.6,"44.390819,-89.78374"
Milwaukee Area Technical College,Milwaukee,WI,27452,67.6,62.3,38.5,41.1,49.4,43.7,25.1,48.7,"43.043762,-87.92061"
Moraine Park Technical College,Fond du Lac,WI,11215,82.1,68.7,7.4,38.5,60.9,39.6,46.4,21.1,"43.785314,-88.417971"
Nicolet Area Technical College,Rhinelander,WI,2007,51,44.9,10.1,62.3,58.7,59.7,42.3,53.8,"45.608014,-89.410885"
Northcentral Technical College,Wausau,WI,8176,60.1,48.4,3.6,56.8,69.1,49.8,42.6,41.4,"44.986087,-89.646388"
Northeast Wisconsin Technical College,Green Bay,WI,14558,60.9,52.2,7.7,64.9,58.9,35.6,39.3,36.9,"44.524927,-88.106939"
Southwest Wisconsin Technical College,Fennimore,WI,4142,75.5,37.3,7.7,63.2,67.3,59.3,40.3,24.8,"42.976152,-90.636735"
University of Wisconsin Colleges,Madison,WI,18941,38.6,23.5,6.7,86.6,55.9,58.6,30.9,33.3,"43.076017,-89.456051"
Waukesha County Technical College,Pewaukee,WI,13955,77,39.3,14.7,58.6,62.5,43.6,33.1,23,"43.072913,-88.257327"
Western Technical College,La Crosse,WI,7165,59.2,40.8,5.2,51.7,55.1,43.1,39.8,40.9,"43.815342,-91.246471"
Wisconsin Indianhead Technical College,Shell Lake,WI,6323,57.2,52.5,3.5,57.4,69.2,43.6,50.2,42.6,"45.739393,-91.925454"
Blue Ridge Community and Technical College,Martinsburg,WV,6027,73.1,72.2,11.8,71.7,55.5,21.9,37.3,37.8,"39.435296,-78.001905"
Bridgemont Community and Technical College,Montgomery,WV,1232,52.9,45.1,11.5,81.5,46.6,39.5,46.1,28.9,"38.180124,-81.327922"
Carver Career Center,Charleston,WV,315,6.4,38.3,9.5,80.7,87.1,79.5,35.6,12.7,"38.289382,-81.562728"
Eastern West Virginia Community and Technical College,Moorefield,WV,1024,64.6,49.8,2.8,61.3,51.9,24.4,33.1,46.7,"39.075804,-78.930679"
Kanawha Valley Community and Technical College,Institute,WV,2233,40.4,59.1,16.4,82.6,44.9,37.6,55.7,60,"38.38377,-81.765798"
Mountwest Community and Technical College,Huntington,WV,4249,50.7,60.5,9.3,72.9,36.3,34.9,32.6,38.8,"38.41925,-82.445154"
New River Community and Technical College,Beckley,WV,4362,41.9,50.5,9.4,84.8,50.3,24.4,14.4,51.5,"37.767547,-81.138901"
Pierpont Community and Technical College,Fairmont,WV,4025,33.2,34.3,11.9,90.6,47.3,28.6,30.9,52.4,"39.482461,-80.162838"
Potomac State College of West Virginia University,Keyser,WV,2096,23,15.4,16.1,99.3,48.4,48,26.4,47.6,"39.438569,-78.981612"
Southern West Virginia Community and Technical College,Mount Gay,WV,3002,44.1,27.3,2,85.5,51.8,25.2,27.3,44.5,"37.851547,-82.022833"
West Virginia Northern Community College,Wheeling,WV,4367,51.9,46.3,5.2,75.1,51.2,23.8,30.3,60.4,"40.063378,-80.721355"
Casper College,Casper,WY,5859,50.8,40.6,6.3,89,60.4,49.7,41.9,25.8,"42.833886,-106.324209"
Central Wyoming College,Riverton,WY,3263,58.3,38.7,19.5,69.1,46.7,51.9,26.2,24.2,"43.028095,-108.426538"
Eastern Wyoming College,Torrington,WY,2504,58.8,29.7,8,80.8,52.3,58.8,25.9,24,"42.076907,-104.188885"
Laramie County Community College,Cheyenne,WY,8118,57.5,36.8,12.3,75,50.2,42.8,30.4,24.8,"41.104258,-104.778456"
Northwest College,Powell,WY,2724,38.2,30.2,8.6,89.7,52.8,52.8,38,33.3,"44.759434,-108.761057"
Sheridan College,Sheridan,WY,6837,68.9,39.2,7.5,82.4,51.2,47.4,32.4,16.4,"44.799261,-106.955603"
Western Wyoming Community College,Rock Springs,WY,6838,67,45.7,9.2,41.6,52.4,75.2,30.4,22.9,"41.591176,-109.237019"
